Year	Date	Max_Temp	ROW
1876	6/1/1876	17	1
1876	6/2/1876	19.1	1
1876	6/3/1876	17.9	1
1876	6/4/1876	18.8	1
1876	6/5/1876	19.1	1
1876	6/6/1876	20.8	1
1876	6/7/1876	16.7	1
1876	6/8/1876	18.7	1
1876	6/9/1876	16.8	1
1876	6/10/1876	18.2	1
1876	6/11/1876	18.7	1
1876	6/12/1876	17.7	1
1876	6/13/1876	16.5	1
1876	6/14/1876	18.3	1
1876	6/15/1876	19.7	1
1876	6/16/1876	18.2	1
1876	6/17/1876	19.7	1
1876	6/18/1876	21.3	1
1876	6/19/1876	19	1
1876	6/20/1876	20.6	1
1876	6/21/1876	20.9	1
1876	6/22/1876	18.4	1
1876	6/23/1876	18.3	1
1876	6/24/1876	19	1
1876	6/25/1876	18.4	1
1876	6/26/1876	14.4	1
1876	6/27/1876	16.4	1
1876	6/28/1876	19.1	1
1876	6/29/1876	20.2	1
1876	6/30/1876	15.8	1
1876	7/1/1876	19.9	1
1876	7/2/1876	19.8	1
1876	7/3/1876	18.6	1
1876	7/4/1876	17.6	1
1876	7/5/1876	20.3	1
1876	7/6/1876	24.5	1
1876	7/7/1876	22.8	1
1876	7/8/1876	22.6	1
1876	7/9/1876	22.9	1
1876	7/10/1876	24	1
1876	7/11/1876	24.9	1
1876	7/12/1876	25.4	1
1876	7/13/1876	25.3	1
1876	7/14/1876	25.6	1
1876	7/15/1876	25.9	1
1876	7/16/1876	25.8	1
1876	7/17/1876	24.2	1
1876	7/18/1876	25.5	1
1876	7/19/1876	25.7	1
1876	7/20/1876	26.2	1
1876	7/21/1876	25.4	1
1876	7/22/1876	25.1	1
1876	7/23/1876	26.1	1
1876	7/24/1876	26.3	1
1876	7/25/1876	26	1
1876	7/26/1876	26.1	1
1876	7/27/1876	25.6	1
1876	7/28/1876	26.3	1
1876	7/29/1876	25.9	1
1876	7/30/1876	25.9	1
1876	7/31/1876	26.2	1
1876	8/1/1876	26.5	1
1876	8/2/1876	26.3	1
1876	8/3/1876	27.4	1
1876	8/4/1876	27.7	1
1876	8/5/1876	27.1	1
1876	8/6/1876	26.7	1
1876	8/7/1876	28.2	1
1876	8/8/1876	28.9	1
1876	8/9/1876	28.8	1
1876	8/10/1876	27.3	1
1876	8/11/1876	26.9	1
1876	8/12/1876	26.7	1
1876	8/13/1876	26.3	1
1876	8/14/1876	26.3	1
1876	8/15/1876	26.9	1
1876	8/16/1876	27.2	1
1876	8/17/1876	27.9	1
1876	8/18/1876	28.8	1
1876	8/19/1876	27.4	1
1876	8/20/1876	26.4	1
1876	8/21/1876	24.4	1
1876	8/22/1876	25.7	1
1876	8/23/1876	25.3	1
1876	8/24/1876	25.3	1
1876	8/25/1876	25.4	1
1876	8/26/1876	25.1	1
1876	8/27/1876	25.4	1
1876	8/28/1876	25.9	1
1876	8/29/1876	25.9	1
1876	8/30/1876	25.4	1
1876	8/31/1876	26.5	1
1876	9/1/1876	25.9	1
1876	9/2/1876	25.8	1
1876	9/3/1876	25.8	1
1876	9/4/1876	26.3	1
1876	9/5/1876	26.6	1
1876	9/6/1876	26.8	1
1876	9/7/1876	25.8	1
1876	9/8/1876	24.7	1
1876	9/9/1876	24.7	1
1876	9/10/1876	23.7	1
1876	9/11/1876	25.6	1
1876	9/12/1876	25.8	1
1876	9/13/1876	26.8	1
1876	9/14/1876	25.8	1
1876	9/15/1876	22.1	1
1876	9/16/1876	19.9	1
1876	9/17/1876	22.9	1
1876	9/18/1876	21.9	1
1876	9/19/1876	20.3	1
1876	9/20/1876	17.3	1
1876	9/21/1876	17.2	1
1876	9/22/1876	18.3	1
1876	9/23/1876	17.6	1
1876	9/24/1876	17.7	1
1876	9/25/1876	20.6	1
1876	9/26/1876	22.4	1
1876	9/27/1876	23	1
1876	9/28/1876		1
1876	9/29/1876	19.6	1
1876	9/30/1876	14.7	1
1877	6/1/1877	18	2
1877	6/2/1877	18.9	2
1877	6/3/1877	21.8	2
1877	6/4/1877	21.4	2
1877	6/5/1877	20.4	2
1877	6/6/1877	20.9	2
1877	6/7/1877	20.2	2
1877	6/8/1877	20.2	2
1877	6/9/1877	22	2
1877	6/10/1877	20.6	2
1877	6/11/1877	17.9	2
1877	6/12/1877	21.6	2
1877	6/13/1877	20	2
1877	6/14/1877	18.7	2
1877	6/15/1877	20.1	2
1877	6/16/1877	19.9	2
1877	6/17/1877	20.3	2
1877	6/18/1877	20.4	2
1877	6/19/1877	21.1	2
1877	6/20/1877	23.1	2
1877	6/21/1877	24.7	2
1877	6/22/1877	24.7	2
1877	6/23/1877	24.9	2
1877	6/24/1877	24.9	2
1877	6/25/1877	24.7	2
1877	6/26/1877	26.4	2
1877	6/27/1877	25.6	2
1877	6/28/1877	26.4	2
1877	6/29/1877	25.6	2
1877	6/30/1877	24.4	2
1877	7/1/1877	26.7	2
1877	7/2/1877	27.6	2
1877	7/3/1877	27.2	2
1877	7/4/1877	28.6	2
1877	7/5/1877	28.1	2
1877	7/6/1877	21.8	2
1877	7/7/1877	18.2	2
1877	7/8/1877	22.9	2
1877	7/9/1877	26.8	2
1877	7/10/1877	26.7	2
1877	7/11/1877	23.6	2
1877	7/12/1877	26.4	2
1877	7/13/1877	28.1	2
1877	7/14/1877	27.9	2
1877	7/15/1877	27.3	2
1877	7/16/1877	27.1	2
1877	7/17/1877	26.9	2
1877	7/18/1877	26.3	2
1877	7/19/1877	27.6	2
1877	7/20/1877	28.2	2
1877	7/21/1877	28.5	2
1877	7/22/1877	26.9	2
1877	7/23/1877	27	2
1877	7/24/1877	26.9	2
1877	7/25/1877	27.8	2
1877	7/26/1877	24.8	2
1877	7/27/1877	25.9	2
1877	7/28/1877	27.4	2
1877	7/29/1877	27.5	2
1877	7/30/1877	27.4	2
1877	7/31/1877	26.6	2
1877	8/1/1877	26.3	2
1877	8/2/1877	26.3	2
1877	8/3/1877	23.2	2
1877	8/4/1877	24.4	2
1877	8/5/1877	25.9	2
1877	8/6/1877	25.8	2
1877	8/7/1877	26.6	2
1877	8/8/1877	25.9	2
1877	8/9/1877	26.2	2
1877	8/10/1877	26.3	2
1877	8/11/1877	25.1	2
1877	8/12/1877	26.3	2
1877	8/13/1877	27.3	2
1877	8/14/1877	27.4	2
1877	8/15/1877	26	2
1877	8/16/1877	25.7	2
1877	8/17/1877	26.3	2
1877	8/18/1877	25.7	2
1877	8/19/1877	26.1	2
1877	8/20/1877	26.1	2
1877	8/21/1877	23.6	2
1877	8/22/1877	25.3	2
1877	8/23/1877	26.7	2
1877	8/24/1877	26.9	2
1877	8/25/1877	27.9	2
1877	8/26/1877	27.8	2
1877	8/27/1877	29.4	2
1877	8/28/1877	26.4	2
1877	8/29/1877	23.6	2
1877	8/30/1877	22.1	2
1877	8/31/1877	23.3	2
1877	9/1/1877	25.9	2
1877	9/2/1877	24.9	2
1877	9/3/1877	22.8	2
1877	9/4/1877	22	2
1877	9/5/1877	23.2	2
1877	9/6/1877	20.5	2
1877	9/7/1877	20.2	2
1877	9/8/1877	20.7	2
1877	9/9/1877	19.4	2
1877	9/10/1877	22.9	2
1877	9/11/1877	21.5	2
1877	9/12/1877	21.6	2
1877	9/13/1877	23.1	2
1877	9/14/1877	22.5	2
1877	9/15/1877	23.6	2
1877	9/16/1877	23.6	2
1877	9/17/1877	22	2
1877	9/18/1877	21.4	2
1877	9/19/1877	21.6	2
1877	9/20/1877	19.6	2
1877	9/21/1877	19.1	2
1877	9/22/1877	20.2	2
1877	9/23/1877	21.2	2
1877	9/24/1877	22.1	2
1877	9/25/1877	19.6	2
1877	9/26/1877	17.9	2
1877	9/27/1877	20.4	2
1877	9/28/1877	17.9	2
1877	9/29/1877	18.4	2
1877	9/30/1877	18.5	2
1878	6/1/1878	11.1	3
1878	6/2/1878	11.8	3
1878	6/3/1878	14.9	3
1878	6/4/1878	17.9	3
1878	6/5/1878	20.7	3
1878	6/6/1878	18.4	3
1878	6/7/1878	19.1	3
1878	6/8/1878	18.2	3
1878	6/9/1878	18.3	3
1878	6/10/1878	19.3	3
1878	6/11/1878	21	3
1878	6/12/1878	20.6	3
1878	6/13/1878	19.4	3
1878	6/14/1878	20.7	3
1878	6/15/1878	21.5	3
1878	6/16/1878	19.3	3
1878	6/17/1878	22	3
1878	6/18/1878	20.6	3
1878	6/19/1878	20.9	3
1878	6/20/1878	21.9	3
1878	6/21/1878	22.3	3
1878	6/22/1878	23.3	3
1878	6/23/1878	23.7	3
1878	6/24/1878	23.9	3
1878	6/25/1878	20.8	3
1878	6/26/1878	20.9	3
1878	6/27/1878	21.1	3
1878	6/28/1878	21.1	3
1878	6/29/1878	23.4	3
1878	6/30/1878	23	3
1878	7/1/1878	23.3	3
1878	7/2/1878	22.4	3
1878	7/3/1878	24.8	3
1878	7/4/1878	24.3	3
1878	7/5/1878	23.9	3
1878	7/6/1878	25.7	3
1878	7/7/1878	23.1	3
1878	7/8/1878	24.9	3
1878	7/9/1878	24.4	3
1878	7/10/1878	26.1	3
1878	7/11/1878	24.6	3
1878	7/12/1878	23.6	3
1878	7/13/1878	23.9	3
1878	7/14/1878	26.3	3
1878	7/15/1878	26	3
1878	7/16/1878	25.8	3
1878	7/17/1878	26.8	3
1878	7/18/1878	28.6	3
1878	7/19/1878	27.3	3
1878	7/20/1878	28.2	3
1878	7/21/1878	27.6	3
1878	7/22/1878	25.7	3
1878	7/23/1878	24.4	3
1878	7/24/1878	26.1	3
1878	7/25/1878	25.6	3
1878	7/26/1878	27.4	3
1878	7/27/1878	28.2	3
1878	7/28/1878	28.5	3
1878	7/29/1878	29.2	3
1878	7/30/1878	29.2	3
1878	7/31/1878	29.6	3
1878	8/1/1878	27.1	3
1878	8/2/1878	22.9	3
1878	8/3/1878	25.1	3
1878	8/4/1878	26.8	3
1878	8/5/1878	24.8	3
1878	8/6/1878	27.5	3
1878	8/7/1878	22.7	3
1878	8/8/1878	21.4	3
1878	8/9/1878	22	3
1878	8/10/1878	22.3	3
1878	8/11/1878	20.5	3
1878	8/12/1878	20.8	3
1878	8/13/1878	24.2	3
1878	8/14/1878	24.4	3
1878	8/15/1878	22.7	3
1878	8/16/1878	21.8	3
1878	8/17/1878	24.7	3
1878	8/18/1878	25	3
1878	8/19/1878	25.3	3
1878	8/20/1878	25.5	3
1878	8/21/1878	25.4	3
1878	8/22/1878	26.2	3
1878	8/23/1878	26.1	3
1878	8/24/1878	26.4	3
1878	8/25/1878	27.3	3
1878	8/26/1878	26.6	3
1878	8/27/1878	24.7	3
1878	8/28/1878	25.9	3
1878	8/29/1878	27	3
1878	8/30/1878	26.4	3
1878	8/31/1878	23.8	3
1878	9/1/1878	21.4	3
1878	9/2/1878	20.4	3
1878	9/3/1878	21.6	3
1878	9/4/1878	19.3	3
1878	9/5/1878	20.7	3
1878	9/6/1878	23.6	3
1878	9/7/1878	24.3	3
1878	9/8/1878	24.3	3
1878	9/9/1878	23	3
1878	9/10/1878	24.3	3
1878	9/11/1878	25.2	3
1878	9/12/1878	25.7	3
1878	9/13/1878	24.9	3
1878	9/14/1878	25.3	3
1878	9/15/1878	24.2	3
1878	9/16/1878	23.4	3
1878	9/17/1878	23	3
1878	9/18/1878	22.7	3
1878	9/19/1878	23.9	3
1878	9/20/1878	24.3	3
1878	9/21/1878	26.9	3
1878	9/22/1878	26.3	3
1878	9/23/1878	26.9	3
1878	9/24/1878	24.4	3
1878	9/25/1878	20.9	3
1878	9/26/1878	21.7	3
1878	9/27/1878	17.7	3
1878	9/28/1878	17.3	3
1878	9/29/1878	17.2	3
1878	9/30/1878	19.7	3
1879	6/1/1879	18.3	4
1879	6/2/1879	15.8	4
1879	6/3/1879	16.4	4
1879	6/4/1879	17.6	4
1879	6/5/1879	21.6	4
1879	6/6/1879	20.5	4
1879	6/7/1879	22.9	4
1879	6/8/1879	23.4	4
1879	6/9/1879	19.2	4
1879	6/10/1879	20	4
1879	6/11/1879	19.9	4
1879	6/12/1879	20.8	4
1879	6/13/1879	20.5	4
1879	6/14/1879	22.2	4
1879	6/15/1879	20.6	4
